X;GED;Multi-Scale
0;20;10
1;86;12
2;8;8
3;7;6
4;59;8
5;7;5
6;435;9
7;22;6
8;1;5
9;1;5
10;1;2
11;1;4
12;0;2
13;2;2
14;2;2
15;28;3
16;2;3
17;1;3
18;2;3
19;395;5
20;39;4
21;1;3
22;25;4
23;1;3
24;20;4
25;22;3
26;1;3
27;379;7
28;1;2
29;1;3
30;1;2
31;21;3
32;394;5
33;1;3
34;1;3
35;20;5
36;398;4
37;2;3
38;1;2
39;28;5
40;3;9
41;20;5
42;21;3
43;22;3
44;1;4
45;1;2
46;22;3
47;1;2
48;22;3
49;1;4
50;1;3
51;1;3
52;1;3
53;1;2
54;1;3
55;1;3
56;1;3
57;1;3
58;22;4
59;1;2
60;1;3
61;1;3
62;1;3
63;1;3
64;21;3
65;1;2
66;1;4
67;0;1
68;1;2
69;1;2
70;1;2
71;1;3
72;1;2
73;1;1
74;21;3
75;1;1
76;1;2
77;2;2
78;22;3
79;21;3
80;1;2
81;1;1
82;1;3
83;1;2
84;1;2
85;23;3
86;1;3
87;21;3
88;23;4
89;1;3
90;1;3
91;22;3
92;0;2
93;22;3
94;1;3
95;21;4
96;21;7
97;1;3
98;1;3
99;1;2
100;1;4
101;1;2
102;1;3
103;1;3
104;1;3
105;1;5
106;22;3
107;1;4
108;1;3
109;21;11
110;1;2
111;1;2
112;1;2
113;1;2
114;1;2
115;21;2
116;1;4
117;1;2
118;1;3
119;21;2
120;21;2
121;1;3
122;1;2
123;1;1
124;1;1
125;26;2
126;2;2
127;23;3
128;1;2
129;1;2
130;26;3
131;2;1
132;419;5
133;1;2
134;3;3
135;1;2
136;21;2
137;1;2
138;1;2
139;1;4
140;1;2
141;19;4
142;0;3
143;1;3
144;21;4
145;21;2
146;1;2
147;1;2
148;1;2
149;20;2
150;21;3
151;21;3
152;394;9
153;21;4
154;389;2
155;413;2
156;21;2
157;396;3
158;392;2
159;384;2
160;410;5
161;1;2
162;21;2
163;21;2
164;22;2
165;384;2
166;387;2
167;2413;4
168;395;2
169;376;3
170;21;2
171;393;4
172;382;5
173;21;3
174;2437;2
175;22;4
176;21;2
177;394;2
178;21;1
179;21;2
180;407;2
181;402;3
182;22;1
183;400;2
184;389;3
185;21;2
186;20;1
187;402;3
188;21;2
189;21;3
190;21;4
191;2481;11
192;21;2
193;21;3
194;21;3
195;21;3
196;21;3
197;2416;6
198;22;3
199;386;3
200;2427;7
201;21;2
202;21;2
203;21;3
204;21;3
205;403;3
206;22;3
207;22;5
208;22;2
209;1;2
210;402;3
211;377;6
212;21;3
213;0;2
214;411;3
215;382;3
216;21;2
217;383;3
218;407;5
219;20;1
220;20;3
221;20;2
222;20;4
223;1;4
224;388;6
225;21;2
226;21;4
227;1;4
228;21;2
229;379;3
230;384;2
231;395;3
232;387;3
233;22;3
234;413;3
235;404;3
236;374;4
237;378;7
238;391;5
239;20;5
240;20;2
241;21;2
242;21;3
243;401;5
244;20;2
245;21;3
246;389;3
247;20;3
248;20;5
249;386;2
250;393;6
251;21;4
252;21;3
253;20;2
254;21;2
255;394;3
256;21;2
257;21;2
258;383;3
259;22;2
260;20;4
261;20;3
262;395;2
263;20;6
264;21;3
265;21;3
266;21;6
267;387;2
268;371;3
269;22;3
270;21;3
271;21;4
272;398;3
273;413;2
274;403;3
275;385;3
276;22;2
277;403;11
278;21;3
279;21;3
280;21;3
281;21;4
282;378;7
283;21;3
284;21;3
285;21;7
286;21;4
287;394;6
288;20;5
289;381;3
290;21;4
291;22;4
292;2401;7
293;21;8
294;9216;7
295;400;5
296;21;3
297;21;2
298;22;3
299;391;2
300;403;9
301;21;2
302;19;5
303;1;5
304;1;2
305;21;4
306;20;5
307;1;2
308;375;4
309;377;3
310;1;2
311;1;4
312;7;1
313;1;2
314;1;2
315;20;2
316;1;2
317;1;2
318;374;4
319;1;2
320;1;2
321;21;2
322;20;2
323;0;2
324;1;2
325;1;3
326;1;2
327;20;5
328;1;2
329;1;2
330;1;2
331;1;2
332;1;2
333;19;2
334;21;3
335;1;2
336;1;2
337;1;3
338;1;5
339;395;5
340;1;2
341;1;2
342;20;2
343;1;2
344;1;3
345;1;2
346;1;3
347;375;4
348;1;3
349;1;2
350;1;2
351;1;2
352;391;5
353;1;2
354;1;3
355;1;2
356;1;2
357;1;2
358;1;2
359;1;2
360;1;2
361;0;2
362;19;5
363;1;5
364;21;2
365;1;3
366;20;2
367;382;5
368;1;3
369;1;3
370;1;2
371;377;5
372;381;3
373;21;3
374;21;5
375;393;4
376;21;5
377;1;2
378;1;5
379;1;2
380;0;2
381;27;3
382;20;2
383;1;3
384;1;2
385;0;3
386;1;6
387;21;2
388;20;2
389;1;7
390;1;2
391;1;3
392;382;2
393;1;2
394;19;2
395;0;3
396;1;3
397;1;2
398;1;4
399;1;4
400;1;2
401;1;2
402;20;2
403;21;3
404;1;2
405;1;3
406;1;2
407;1;3
408;1;2
409;1;3
410;21;4
411;1;2
412;0;2
413;1;3
414;7;2
415;21;6
416;1;2
417;23;2
418;391;3
419;1;2
420;21;3
421;1;2
422;383;3
423;1;2
424;1;2
425;20;3
426;1;2
427;1;3
428;1;2
429;1;3
430;21;7
431;26;4
432;20;6
433;21;3
434;0;2
435;0;3
436;1;3
437;1;2
438;1;3
439;21;2
440;21;6
441;1;3
442;1;6
443;1;2
444;21;2
445;1;3
446;21;2
447;21;5
448;1;2
449;1;3
450;384;6
451;393;5
452;20;7
453;375;9
454;20;3
455;20;4
456;21;3
457;20;2
458;20;5
459;20;2
460;376;4
461;20;3
462;20;6
463;21;3
464;383;3
465;20;3
466;376;6
467;22;5
468;21;3
469;28;4
470;2275;11
471;391;4
472;386;2
473;20;5
474;21;3
475;20;6
476;374;5
477;2195;9
478;20;3
479;21;3
480;2270;9
481;21;6
482;381;10
483;20;5
484;19;5
485;20;3
486;21;3
487;383;5
488;20;3
489;20;5
490;27;4
491;377;5
492;392;8
493;381;4
494;368;6
495;376;13
496;19;5
497;391;3
