Graph1;Graph2;Cout;Temps(ms)
AP1_0000;AP1_0000;0.0;20.0
AP1_0000;AP1_0001;1.0;86.0
AP1_0000;AP1_0002;0.0;8.0
AP1_0000;AP1_0003;0.0;7.0
AP1_0000;AP1_0004;1.0;59.0
AP1_0000;AP1_0005;0.0;7.0
AP1_0000;AP1_0006;2.0;435.0
AP1_0000;AP1_0007;1.0;22.0
AP1_0000;AP1_0008;0.0;1.0
AP1_0000;AP1_0009;0.0;1.0
AP1_0000;AP1_0010;0.0;1.0
AP1_0000;AP1_0011;0.0;1.0
AP1_0000;AP1_0012;1.0;0.0
AP1_0000;AP1_0013;0.0;2.0
AP1_0000;AP1_0014;0.0;2.0
AP1_0000;AP1_0015;1.0;28.0
AP1_0000;AP1_0016;0.0;2.0
AP1_0000;AP1_0017;0.0;1.0
AP1_0000;AP1_0018;0.0;2.0
AP1_0000;AP1_0019;2.0;395.0
AP1_0000;AP1_0020;1.0;39.0
AP1_0000;AP1_0021;0.0;1.0
AP1_0000;AP1_0022;1.0;25.0
AP1_0000;AP1_0023;0.0;1.0
AP1_0000;AP1_0024;1.0;20.0
AP1_0000;AP1_0025;1.0;22.0
AP1_0000;AP1_0026;0.0;1.0
AP1_0000;AP1_0027;2.0;379.0
AP1_0000;AP1_0028;0.0;1.0
AP1_0000;AP1_0029;0.0;1.0
AP1_0000;AP1_0030;0.0;1.0
AP1_0000;AP1_0031;1.0;21.0
AP1_0000;AP1_0032;2.0;394.0
AP1_0000;AP1_0033;0.0;1.0
AP1_0000;AP1_0034;0.0;1.0
AP1_0000;AP1_0035;1.0;20.0
AP1_0000;AP1_0036;2.0;398.0
AP1_0000;AP1_0037;0.0;2.0
AP1_0000;AP1_0038;0.0;1.0
AP1_0000;AP1_0039;1.0;28.0
AP1_0000;AP1_0040;0.0;3.0
AP1_0000;AP1_0041;1.0;20.0
AP1_0000;AP1_0042;1.0;21.0
AP1_0000;AP1_0043;1.0;22.0
AP1_0000;AP1_0044;0.0;1.0
AP1_0000;AP1_0045;0.0;1.0
AP1_0000;AP1_0046;1.0;22.0
AP1_0000;AP1_0047;0.0;1.0
AP1_0000;AP1_0048;1.0;22.0
AP1_0000;AP1_0049;0.0;1.0
AP1_0000;AP1_0050;0.0;1.0
AP1_0000;AP1_0051;0.0;1.0
AP1_0000;AP1_0052;0.0;1.0
AP1_0000;AP1_0053;0.0;1.0
AP1_0000;AP1_0054;0.0;1.0
AP1_0000;AP1_0055;0.0;1.0
AP1_0000;AP1_0056;0.0;1.0
AP1_0000;AP1_0057;0.0;1.0
AP1_0000;AP1_0058;1.0;22.0
AP1_0000;AP1_0059;0.0;1.0
AP1_0000;AP1_0060;0.0;1.0
AP1_0000;AP1_0061;0.0;1.0
AP1_0000;AP1_0062;0.0;1.0
AP1_0000;AP1_0063;0.0;1.0
AP1_0000;AP1_0064;1.0;21.0
AP1_0000;AP1_0065;0.0;1.0
AP1_0000;AP1_0066;0.0;1.0
AP1_0000;AP1_0067;1.0;0.0
AP1_0000;AP1_0068;0.0;1.0
AP1_0000;AP1_0069;0.0;1.0
AP1_0000;AP1_0070;0.0;1.0
AP1_0000;AP1_0071;0.0;1.0
AP1_0000;AP1_0072;0.0;1.0
AP1_0000;AP1_0073;0.0;1.0
AP1_0000;AP1_0074;1.0;21.0
AP1_0000;AP1_0075;0.0;1.0
AP1_0000;AP1_0076;0.0;1.0
AP1_0000;AP1_0077;0.0;2.0
AP1_0000;AP1_0078;1.0;22.0
AP1_0000;AP1_0079;1.0;21.0
AP1_0000;AP1_0080;0.0;1.0
AP1_0000;AP1_0081;0.0;1.0
AP1_0000;AP1_0082;0.0;1.0
AP1_0000;AP1_0083;0.0;1.0
