Graph1;Graph2;Cout;Temps(ms)
AP1_0000;AP1_0000;4.0;12.0
AP1_0000;AP1_0001;3.0;12.0
AP1_0000;AP1_0002;3.0;7.0
AP1_0000;AP1_0003;3.0;6.0
AP1_0000;AP1_0004;3.0;7.0
AP1_0000;AP1_0005;3.0;5.0
AP1_0000;AP1_0006;4.0;9.0
AP1_0000;AP1_0007;4.0;7.0
AP1_0000;AP1_0008;3.0;3.0
AP1_0000;AP1_0009;3.0;2.0
AP1_0000;AP1_0010;4.0;3.0
AP1_0000;AP1_0011;3.0;3.0
AP1_0000;AP1_0012;3.0;2.0
AP1_0000;AP1_0013;3.0;2.0
AP1_0000;AP1_0014;4.0;3.0
AP1_0000;AP1_0015;3.0;3.0
AP1_0000;AP1_0016;3.0;2.0
AP1_0000;AP1_0017;3.0;2.0
AP1_0000;AP1_0018;3.0;2.0
AP1_0000;AP1_0019;4.0;4.0
AP1_0000;AP1_0020;3.0;3.0
AP1_0000;AP1_0021;3.0;3.0
AP1_0000;AP1_0022;3.0;2.0
AP1_0000;AP1_0023;3.0;2.0
AP1_0000;AP1_0024;4.0;4.0
AP1_0000;AP1_0025;3.0;2.0
AP1_0000;AP1_0026;3.0;3.0
AP1_0000;AP1_0027;3.0;3.0
AP1_0000;AP1_0028;3.0;3.0
AP1_0000;AP1_0029;3.0;2.0
AP1_0000;AP1_0030;3.0;2.0
AP1_0000;AP1_0031;3.0;3.0
AP1_0000;AP1_0032;3.0;3.0
AP1_0000;AP1_0033;3.0;2.0
AP1_0000;AP1_0034;3.0;2.0
AP1_0000;AP1_0035;4.0;5.0
AP1_0000;AP1_0036;4.0;4.0
AP1_0000;AP1_0037;3.0;3.0
AP1_0000;AP1_0038;4.0;3.0
AP1_0000;AP1_0039;3.0;3.0
AP1_0000;AP1_0040;3.0;3.0
AP1_0000;AP1_0041;3.0;5.0
AP1_0000;AP1_0042;3.0;3.0
AP1_0000;AP1_0043;3.0;3.0
AP1_0000;AP1_0044;3.0;2.0
AP1_0000;AP1_0045;3.0;2.0
AP1_0000;AP1_0046;3.0;9.0
AP1_0000;AP1_0047;3.0;2.0
AP1_0000;AP1_0048;3.0;2.0
AP1_0000;AP1_0049;4.0;3.0
AP1_0000;AP1_0050;3.0;2.0
AP1_0000;AP1_0051;3.0;3.0
AP1_0000;AP1_0052;3.0;2.0
AP1_0000;AP1_0053;4.0;3.0
AP1_0000;AP1_0054;3.0;3.0
AP1_0000;AP1_0055;3.0;2.0
AP1_0000;AP1_0056;3.0;3.0
AP1_0000;AP1_0057;3.0;3.0
AP1_0000;AP1_0058;3.0;3.0
AP1_0000;AP1_0059;3.0;2.0
AP1_0000;AP1_0060;3.0;2.0
AP1_0000;AP1_0061;3.0;2.0
AP1_0000;AP1_0062;3.0;2.0
AP1_0000;AP1_0063;4.0;3.0
AP1_0000;AP1_0064;3.0;2.0
AP1_0000;AP1_0065;3.0;2.0
AP1_0000;AP1_0066;4.0;3.0
AP1_0000;AP1_0067;3.0;1.0
AP1_0000;AP1_0068;3.0;2.0
AP1_0000;AP1_0069;3.0;2.0
AP1_0000;AP1_0070;3.0;2.0
AP1_0000;AP1_0071;3.0;2.0
AP1_0000;AP1_0072;3.0;2.0
AP1_0000;AP1_0073;4.0;3.0
AP1_0000;AP1_0074;4.0;3.0
AP1_0000;AP1_0075;3.0;2.0
AP1_0000;AP1_0076;3.0;1.0
AP1_0000;AP1_0077;3.0;2.0
AP1_0000;AP1_0078;3.0;3.0
AP1_0000;AP1_0079;4.0;4.0
AP1_0000;AP1_0080;3.0;2.0
AP1_0000;AP1_0081;3.0;2.0
AP1_0000;AP1_0082;3.0;1.0
AP1_0000;AP1_0083;3.0;2.0
AP1_0000;AP1_0084;3.0;1.0
AP1_0000;AP1_0085;3.0;2.0
AP1_0000;AP1_0086;3.0;1.0
AP1_0000;AP1_0087;3.0;3.0
AP1_0000;AP1_0088;3.0;2.0
AP1_0000;AP1_0089;3.0;2.0
AP1_0000;AP1_0090;3.0;1.0
AP1_0000;AP1_0091;3.0;2.0
AP1_0000;AP1_0092;3.0;1.0
AP1_0000;AP1_0093;3.0;3.0
AP1_0000;AP1_0094;3.0;1.0
